PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-09,15:03:25.58,1,1,"Katskee, Cooper",811683,Right,MIA_RED,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.10187,-3.118253,-2.13893,2133.400091,220.824487,1:15,6.12367,1.56223,5.69374,-17.61753,17.54186,14.06308,1.74467,0.73991,81.54253,-6.458848,0.375332,0.426768,,,,,,,,,,,,-7.80741,10.25174,-1.39145,50,5.85064,4.25187,-130.45441,-7.65029,-13.29727,30.43471,-14.71367,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250509-McKieFieldStad-1,497380a0-2d08-11f0-9b91-cbbbd202655a,88.32064,,,8.55934,,,,,,,3793923d-e0a5-4564-9358-aba715d9b1a8,2025-05-09,19:03:25.58,2025-05-09T15:03:25.5836160-04:00,2025-05-09T19:03:25.5836160Z,,v3,471355,akron,09 May 2025 15:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,a3b30dee-c8c1-4785-abff-ae519f196407,54.80249,-131.57005,15.21736,6.12119,-7.11093,-7.35684,-1.55624,4.73931,-6.64864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-09,15:03:44.86,1,2,"Katskee, Cooper",811683,Right,MIA_RED,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.46098,-2.389628,-1.593485,2263.777626,200.789283,12:45,6.1258,1.77437,5.47716,-15.44422,18.8293,6.69276,2.60064,0.84069,82.84924,-5.329903,-0.401892,0.421357,,,,,,,,,,,,-3.86906,10.57961,-1.63923,50,5.90587,3.38176,-132.51789,-6.01134,-6.81576,30.79125,-13.53698,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250509-McKieFieldStad-1,54fcb040-2d08-11f0-9b91-cbbbd202655a,89.45478,,,8.61174,,,,,,,3793923d-e0a5-4564-9358-aba715d9b1a8,2025-05-09,19:03:44.86,2025-05-09T15:03:44.8691200-04:00,2025-05-09T19:03:44.8691200Z,,v3,471355,akron,09 May 2025 15:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,0b994722-f649-40a6-b194-72214de0a9a9,55.01924,-133.67905,15.39563,6.12293,-5.50084,-6.76849,-1.77161,3.63879,-3.40788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-09,15:04:09.66,1,3,"Katskee, Cooper",811683,Right,MIA_RED,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.83264,0.867607,0.686948,2121.14641,37.913393,7:15,6.13343,1.67094,5.2927,-56.56263,-10.09067,-9.1015,2.23461,1.5575,71.84248,-9.392978,-0.933117,0.490644,,,,,,,,,,,,4.75394,-4.80044,-1.72663,50,6.17123,-0.99961,-114.35667,-0.29049,6.21311,23.65787,-38.44791,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250509-McKieFieldStad-1,639a99f0-2d08-11f0-9b91-cbbbd202655a,76.82234,,,6.99016,,,,,,,3793923d-e0a5-4564-9358-aba715d9b1a8,2025-05-09,19:04:09.66,2025-05-09T15:04:09.6695296-04:00,2025-05-09T19:04:09.6695296Z,,v3,471355,akron,09 May 2025 15:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,6e48ed2d-0aa0-46fb-8b00-039f00b1e4ff,55.20645,-115.42874,11.82894,6.14491,1.45181,-19.22396,-1.67495,-1.28116,3.10656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-09,15:04:30.96,1,4,"Katskee, Cooper",811683,Right,MIA_RED,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.71445,-2.274985,-1.39235,1506.096539,223.682344,1:30,5.77118,1.85093,6.44149,-28.64427,8.85626,7.25493,1.29202,1.17586,78.24125,-7.645865,-0.074992,0.440748,,,,,,,,,,,,-4.22488,5.69051,-1.75524,50,5.59685,2.7543,-124.45637,-5.78696,-6.57365,26.84016,-23.31994,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250509-McKieFieldStad-1,7073a220-2d08-11f0-9b91-cbbbd202655a,85.51927,,,7.4732,,,,,,,3793923d-e0a5-4564-9358-aba715d9b1a8,2025-05-09,19:04:30.96,2025-05-09T15:04:30.9640704-04:00,2025-05-09T19:04:30.9640704Z,,v3,471355,akron,09 May 2025 15:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,c0d522a8-c81c-48cd-b6eb-27ee9397dd63,54.05598,-125.32803,13.42008,5.77249,-5.02963,-11.65997,-1.84816,2.96778,-3.28682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-09,15:04:53.83,1,5,"Katskee, Cooper",811683,Right,MIA_RED,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,2,2,Curveball,Curveball,InPlay,Undefined,LineDrive,Triple,0,0,,77.93306,1.493083,-1.283243,2258.738349,37.460152,7:15,6.1555,1.61788,5.52499,-57.47546,-10.93544,-9.44252,2.76238,-0.36886,71.94442,-8.940674,-2.968858,0.491004,97.86986,13.963848,31.052572,2601.484818,89.91667,15.46449,63.36285,191.94444,149.23139,38.571235,1.712722,4.4517,-5.6154,-1.49969,50,6.24628,2.89278,-113.24087,1.01285,5.78164,20.64276,-39.46707,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250509-McKieFieldStad-1,7e2fb750-2d08-11f0-9b91-cbbbd202655a,76.76609,15.66469,,5.98865,,,,1.64994,2.83005,0.40595,3793923d-e0a5-4564-9358-aba715d9b1a8,2025-05-09,19:04:53.83,2025-05-09T15:04:53.8359808-04:00,2025-05-09T19:04:53.8359808Z,LineDrive,v3,471355,akron,09 May 2025 15:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,c2260557-0c1b-4130-a41f-d6d9e5aeea1b,54.97747,-114.14461,10.32138,6.16411,2.74072,-19.73353,-1.6208,2.63966,2.89082,,1.64992,119.34051,-25.20376,5.15131,-1.68174,0.9899,-0.55006,0.17417,-0.02281,2.83004,34.6393,-25.77604,3.79818,-1.11603,0.53939,-0.26594,0.08146,-0.01058,0.40597,71.85169,1.49956,-2.87335,1.62991,-1.21474,0.70164,-0.22781,0.03052,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-09,15:05:49.74,2,1,"Katskee, Cooper",811683,Right,MIA_RED,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.92944,-2.853244,-2.541187,2160.292034,215.361641,1:15,6.13369,1.56419,5.65976,-15.91379,17.90253,11.84386,2.14202,0.17992,83.12189,-5.885989,-0.426511,0.418538,,,,,,,,,,,,-6.84394,10.34875,-1.35696,50,5.88227,5.38124,-133.10398,-7.12957,-12.13156,31.75015,-13.82986,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250509-McKieFieldStad-1,9f4a99a0-2d08-11f0-9b91-cbbbd202655a,90.05741,,,8.80755,,,,,,,3793923d-e0a5-4564-9358-aba715d9b1a8,2025-05-09,19:05:49.74,2025-05-09T15:05:49.7423360-04:00,2025-05-09T19:05:49.7423360Z,,v3,471355,akron,09 May 2025 15:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,bee3046d-a509-4804-b27f-ac61fc11581c,54.83751,-134.25294,15.87508,6.13121,-6.6291,-6.91493,-1.55964,5.82026,-6.06578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-09,15:06:16.33,2,2,"Katskee, Cooper",811683,Right,MIA_RED,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.16516,-1.032455,-2.054448,2128.370543,217.405515,1:15,6.13641,1.76302,5.70369,-18.45615,15.81308,11.16091,3.63569,0.77804,82.28379,-4.536263,-0.059378,0.421331,,,,,,,,,,,,-6.30595,8.70835,-1.59779,50,6.03861,4.23997,-132.15275,-2.9668,-11.01285,31.43656,-16.9656,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250509-McKieFieldStad-1,af2dad80-2d08-11f0-9b91-cbbbd202655a,89.46039,,,8.88137,,,,,,,3793923d-e0a5-4564-9358-aba715d9b1a8,2025-05-09,19:06:16.33,2025-05-09T15:06:16.3355136-04:00,2025-05-09T19:06:16.3355136Z,,v3,471355,akron,09 May 2025 15:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,6397a279-9f8a-4fdf-9c65-78c7a14a5576,54.79191,-133.28778,15.71828,6.13467,-2.35425,-8.4828,-1.75805,4.6376,-5.50643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-09,15:06:41.41,2,3,"Katskee, Cooper",811683,Right,MIA_RED,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.1385,-0.940649,-0.03259,2084.690214,204.947498,12:45,6.1561,1.77219,5.48944,-19.37245,14.86891,6.39591,3.66169,2.27469,82.99976,-4.574824,1.106997,0.42116,,,,,,,,,,,,-3.21721,8.09437,-1.77371,50,6.06088,-0.21965,-132.25457,-2.82686,-5.68027,29.03515,-17.88261,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250509-McKieFieldStad-1,be160db0-2d08-11f0-9b91-cbbbd202655a,89.4968,,,8.13873,,,,,,,3793923d-e0a5-4564-9358-aba715d9b1a8,2025-05-09,19:06:41.41,2025-05-09T15:06:41.4170112-04:00,2025-05-09T19:06:41.4170112Z,,v3,471355,akron,09 May 2025 15:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,fbd243d4-fba4-482f-b441-15acb4fd8744,55.0061,-133.34908,14.51758,6.15473,-2.15276,-8.94131,-1.76946,-0.00552,-2.84014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-09,15:07:02.46,2,4,"Katskee, Cooper",811683,Right,MIA_RED,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,0,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.58252,-2.414747,-1.738958,1535.715898,232.923038,1:45,5.83475,1.84666,6.54643,-29.71033,8.28414,9.4278,1.14213,1.03712,78.00892,-7.965233,-0.023637,0.443641,59.25751,64.226188,-128.452443,3561.346793,,,,,15.92201,,,-5.45925,5.35362,-1.73033,50,5.65493,3.39852,-122.92952,-6.03721,-8.37287,23.84895,-23.96321,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250509-McKieFieldStad-1,cab9ae00-2d08-11f0-9b91-cbbbd202655a,84.96159,30.28886,,6.5736,,,,2.28862,1.26714,-1.09697,3793923d-e0a5-4564-9358-aba715d9b1a8,2025-05-09,19:07:02.46,2025-05-09T15:07:02.4699904-04:00,2025-05-09T19:07:02.4699904Z,,v3,471355,akron,09 May 2025 15:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,fdca916d-bf66-4125-a79b-94e6fc4867c6,53.95295,-123.69403,11.92447,5.83615,-5.26903,-11.9816,-1.84358,3.66692,-4.18643,,2.29556,-23.71612,-1.54055,,,,,,,1.2865,77.67262,-27.18072,,,,,,,-1.0997,-29.51209,3.2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2025-05-09,15:07:30.37,2,5,"Katskee, Cooper",811683,Right,MIA_RED,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.72358,-2.494444,-1.091861,2175.194623,220.709301,1:15,6.19519,1.52738,5.52544,-19.19733,15.14713,12.11371,2.26156,1.51599,83.27811,-6.074248,1.068489,0.421793,,,,,,,,,,,,-6.41977,8.65193,-1.44079,50,5.96556,1.96847,-131.65601,-6.38577,-11.30454,27.098,-16.93883,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250509-McKieFieldStad-1,db62d100-2d08-11f0-9b91-cbbbd202655a,89.36231,,,7.44547,,,,,,,3793923d-e0a5-4564-9358-aba715d9b1a8,2025-05-09,19:07:30.37,2025-05-09T15:07:30.3799296-04:00,2025-05-09T19:07:30.3799296Z,,v3,471355,akron,09 May 2025 15:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,e357086f-89b6-45aa-9d0d-a1c84d845e5c,54.97257,-132.67554,13.549,6.19383,-5.74847,-8.46941,-1.52285,2.3938,-5.65227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
