PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-13,13:02:00.03,1,1,"Burke, Clayton",1000266653,Right,MIA_RED,"Matthews, Luke",1000305127,Right,KS_GF,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.72702,-1.711402,-5.595066,2489.317049,229.194221,1:45,5.10427,1.09585,5.4256,-15.55107,19.4293,20.83277,2.19729,-2.42517,81.36682,-4.720054,-1.912906,0.42568,,,,,,,,,,,,-12.30875,10.71012,-0.61272,50,4.94158,11.93399,-132.11641,-4.41717,-21.19653,34.88507,-13.73047,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250413-McKieFieldStad-1,04029670-1889-11f0-9262-43260c0bccd7,88.54635,,,10.36021,,,,,,,6ee8b979-9175-4bf9-83af-18d6c7c50a79,2025-04-13,17:02:00.03,2025-04-13T13:02:00.0341504-04:00,2025-04-13T17:02:00.0341504Z,,v3,471355,471330,13 April 2025 13:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,09ac7910-eea2-46ad-a32b-5fc8d70d5183,55.06717,-133.44767,17.44253,5.10014,-3.89319,-6.86523,-1.08357,12.74288,-10.59826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-13,13:02:14.01,1,2,"Burke, Clayton",1000266653,Right,MIA_RED,"Matthews, Luke",1000305127,Right,KS_GF,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.59141,-0.440955,-2.261237,2436.926675,234.769141,1:45,5.05,1.23728,5.55449,-19.05659,15.33206,19.87229,3.04962,0.77941,82.01835,-4.06141,1.281197,0.422064,,,,,,,,,,,,-10.69123,8.2391,-1.05482,50,4.99969,4.30041,-132.63716,-1.64032,-18.67353,33.53983,-17.78345,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250413-McKieFieldStad-1,0c87fbf0-1889-11f0-9262-43260c0bccd7,89.30493,,,9.57306,,,,,,,6ee8b979-9175-4bf9-83af-18d6c7c50a79,2025-04-13,17:02:14.01,2025-04-13T13:02:14.0170240-04:00,2025-04-13T17:02:14.0170240Z,,v3,471355,471330,13 April 2025 13:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,bd0f93bf-52b0-4e4b-ba4c-7b00039aa902,54.93966,-133.88042,16.76992,5.04828,-0.98112,-8.89173,-1.22706,4.9926,-9.33677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-13,13:02:29.11,1,3,"Burke, Clayton",1000266653,Right,MIA_RED,"Matthews, Luke",1000305127,Right,KS_GF,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.04951,-0.664112,-2.938388,2493.669314,229.869516,1:45,5.05228,1.30656,5.79889,-18.21194,15.21422,16.6704,2.9161,-0.0396,83.22842,-4.123456,0.0444,0.416116,,,,,,,,,,,,-9.35642,8.28894,-1.07486,50,4.98691,6.09811,-133.4346,-2.12272,-16.71016,31.23383,-17.37033,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250413-McKieFieldStad-1,157fd250-1889-11f0-9262-43260c0bccd7,90.58155,,,8.82109,,,,,,,6ee8b979-9175-4bf9-83af-18d6c7c50a79,2025-04-13,17:02:29.11,2025-04-13T13:02:29.1134464-04:00,2025-04-13T17:02:29.1134464Z,,v3,471355,471330,13 April 2025 13:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,93ea5bfc-0268-4a16-bb75-e22e414f5063,54.69739,-134.52965,15.61692,5.05065,-1.51372,-8.68517,-1.29892,6.68397,-8.35508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-13,13:02:43.72,1,4,"Burke, Clayton",1000266653,Right,MIA_RED,"Matthews, Luke",1000305127,Right,KS_GF,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.96664,-1.646386,-3.748492,2443.504713,224.91871,1:30,5.00703,1.11077,5.43794,-16.69879,17.34454,16.0919,2.07008,-1.0633,83.09625,-4.815392,-0.892211,0.41994,,,,,,,,,,,,-9.18575,9.55686,-0.79005,50,4.84992,7.95922,-133.06347,-4.36883,-16.31698,31.01526,-15.19781,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250413-McKieFieldStad-1,1e2bd2a0-1889-11f0-9262-43260c0bccd7,89.75668,,,8.87039,,,,,,,6ee8b979-9175-4bf9-83af-18d6c7c50a79,2025-04-13,17:02:43.72,2025-04-13T13:02:43.7258752-04:00,2025-04-13T17:02:43.7258752Z,,v3,471355,471330,13 April 2025 13:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,c9338beb-7ba7-4ac8-9191-536a5b3dc254,55.05772,-134.23718,15.50763,5.00436,-3.7937,-7.5989,-1.10294,8.5767,-8.15849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-13,13:03:01.05,1,5,"Burke, Clayton",1000266653,Right,MIA_RED,"Matthews, Luke",1000305127,Right,KS_GF,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,92.49899,-0.707657,-3.730507,2507.816511,230.24147,1:45,5.05739,0.9705,5.63184,-17.18784,16.62028,18.388,2.96339,-0.98268,82.47408,-4.003606,-0.454573,0.418487,,,,,,,,,,,,-10.52284,9.00756,-0.66449,50,4.98647,7.85525,-133.74226,-2.18613,-18.62736,34.94034,-16.22906,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250413-McKieFieldStad-1,288b2840-1889-11f0-9262-43260c0bccd7,90.0684,,,10.02492,,,,,,,6ee8b979-9175-4bf9-83af-18d6c7c50a79,2025-04-13,17:03:01.05,2025-04-13T13:03:01.0520000-04:00,2025-04-13T17:03:01.0520000Z,,v3,471355,471330,13 April 2025 13:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,6537a7f0-20b2-45a6-815c-161a60084947,54.86214,-135.00653,17.47017,5.05494,-1.5989,-8.11453,-0.96092,8.52926,-9.31368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.07311,,,0.947876,,,,0.78391,5.69245,-5.02776,68.15991,7.46683,-56.61836,0.80261,74.90331,-4.05989,5.72343,15.89044,-14.83502,-5.07441,-60.70986,6.69608,High,High,High,,,High,High,High
6,2025-04-13,13:03:36.19,2,1,"Burke, Clayton",1000266653,Right,MIA_RED,"Jatczak, Hayden",1000132209,Right,KS_GF,Undefined,1,Top,1,0,0,Cutter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.58181,-0.806173,-1.876043,2546.744089,236.247793,1:45,4.83923,1.28587,5.54795,-29.73887,9.21721,11.79957,1.60719,0.51543,77.75766,-6.315987,0.228932,0.44922,,,,,,,,,,,,-6.55264,5.28756,-1.13159,50,4.74993,3.56802,-124.1185,-2.76444,-10.13217,26.87722,-23.99801,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250413-McKieFieldStad-1,3d894d80-1889-11f0-9262-43260c0bccd7,83.9064,,,7.82415,,,,,,,6ee8b979-9175-4bf9-83af-18d6c7c50a79,2025-04-13,17:03:36.19,2025-04-13T13:03:36.1999360-04:00,2025-04-13T17:03:36.1999360Z,,v3,471355,471330,13 April 2025 13:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,fe298eff-6205-427e-8674-4462b97c7228,54.94922,-125.18564,13.43861,4.84078,-1.81161,-11.99901,-1.28124,3.97031,-5.06609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-13,13:03:51.29,2,2,"Burke, Clayton",1000266653,Right,MIA_RED,"Jatczak, Hayden",1000132209,Right,KS_GF,Undefined,1,Top,1,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.38429,-1.112189,-3.892861,2494.615995,232.8624,1:45,4.99929,1.10588,6.03055,-17.70706,15.33607,18.68501,2.49126,-0.94757,83.29146,-4.497612,-0.539409,0.413725,,,,,,,,,,,,-10.75508,8.56111,-0.81101,50,4.90263,8.27525,-133.79187,-3.13102,-19.25774,32.13866,-16.84481,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250413-McKieFieldStad-1,4663d7e0-1889-11f0-9262-43260c0bccd7,91.10502,,,9.09283,,,,,,,6ee8b979-9175-4bf9-83af-18d6c7c50a79,2025-04-13,17:03:51.29,2025-04-13T13:03:51.2957440-04:00,2025-04-13T17:03:51.2957440Z,,v3,471355,471330,13 April 2025 13:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,923de65f-f8a8-4363-be3b-bc26f13a0b72,54.46542,-134.86026,16.06933,4.99741,-2.57104,-8.42241,-1.09675,8.91544,-9.62887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-13,13:04:08.73,2,3,"Burke, Clayton",1000266653,Right,MIA_RED,"Jatczak, Hayden",1000132209,Right,KS_GF,Undefined,1,Top,1,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.26551,0.428109,-2.945437,2525.505517,193.029143,12:30,4.84877,1.29919,5.522,-26.45261,12.01847,2.47634,3.04517,-1.25063,78.11327,-4.503586,-2.505085,0.446415,,,,,,,,,,,,-2.13953,6.32272,-1.04444,50,4.86869,6.32196,-124.96196,0.04495,-3.35321,27.25954,-22.26474,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250413-McKieFieldStad-1,5102f5a0-1889-11f0-9262-43260c0bccd7,84.43368,,,8.15224,,,,,,,6ee8b979-9175-4bf9-83af-18d6c7c50a79,2025-04-13,17:04:08.73,2025-04-13T13:04:08.7303168-04:00,2025-04-13T17:04:08.7303168Z,,v3,471355,471330,13 April 2025 13:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,b25ed2f1-200e-4bd0-8292-972bd2d54ee1,54.97292,-126.0421,13.62977,4.84943,0.92717,-11.13237,-1.29758,6.45482,-1.67661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-13,13:04:25.30,2,4,"Burke, Clayton",1000266653,Right,MIA_RED,"Jatczak, Hayden",1000132209,Right,KS_GF,Undefined,1,Top,1,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.72785,-1.146548,-3.901315,2489.81265,229.510788,1:45,5.06029,0.98086,5.59823,-17.66859,16.26556,17.67426,2.51487,-1.19416,83.02826,-4.494941,-0.755363,0.419266,,,,,,,,,,,,-10.07831,8.90709,-0.65783,50,4.95065,8.24707,-132.80429,-3.23094,-17.86664,30.39641,-16.38375,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250413-McKieFieldStad-1,5ae5c840-1889-11f0-9262-43260c0bccd7,89.90097,,,8.69959,,,,,,,6ee8b979-9175-4bf9-83af-18d6c7c50a79,2025-04-13,17:04:25.30,2025-04-13T13:04:25.3025280-04:00,2025-04-13T17:04:25.3025280Z,,v3,471355,471330,13 April 2025 13:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,354240ac-4bc4-4994-a144-b53eea91389a,54.89851,-133.92078,15.19821,5.05827,-2.62916,-8.19187,-0.97281,8.90333,-8.93332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-13,13:04:43.77,2,5,"Burke, Clayton",1000266653,Right,MIA_RED,"Jatczak, Hayden",1000132209,Right,KS_GF,Undefined,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.35325,0.345886,-3.620362,2539.73368,158.833792,11:15,4.95838,1.32011,5.50339,-33.00888,8.84288,-2.92764,2.53178,-2.31429,75.56555,-5.726467,-4.140029,0.465616,,,,,,,,,,,,0.49095,4.76181,-1.00159,50,4.9665,7.67173,-119.36535,-0.38509,0.70978,22.53948,-25.28991,MIA_RED,KS_GF,McKieFieldStad,D1,MAC,20250413-McKieFieldStad-1,65e24840-1889-11f0-9262-43260c0bccd7,80.9517,,,6.7877,,,,,,,6ee8b979-9175-4bf9-83af-18d6c7c50a79,2025-04-13,17:04:43.77,2025-04-13T13:04:43.7786624-04:00,2025-04-13T17:04:43.7786624Z,,v3,471355,471330,13 April 2025 13:00-kentst@miamioh,"Novak, David",1000076952,Right,MIA_RED,788f3b31-9cfc-4c83-8cee-b891c5e858a7,54.99373,-120.30461,11.26974,4.96059,0.66878,-12.64495,-1.32067,7.64215,0.35489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
