pitcher,strike_pct,zone_pct,chase_pct,swing_pct,called_strike_pct,miss_pct,in_zone_miss_pct,out_zone_miss_pct,xbabip,gb_pct,strike_pct_pct,zone_pct_pct,chase_pct_pct,swing_pct_pct,called_strike_pct_pct,miss_pct_pct,in_zone_miss_pct_pct,out_zone_miss_pct_pct,xbabip_pct,gb_pct_pct
"Abler, Andrew",0.375,0.5,0.125,0.25,0.125,0.0,0.0,0.0,0.39099740407596556,0.0,48.626526082130965,96.79522752497225,18.38235294117647,76.165371809101,12.083795782463929,0.0,0.0,0.0,22.454873646209386,0.0
"Abraham, John",0.3157894736842105,0.47368421052631576,0.02631578947368421,0.10526315789473684,0.21052631578947367,0.02631578947368421,0.02631578947368421,0.0,0.3694405133576563,0.0,25.110987791342954,95.4356270810211,2.0532741398446173,16.27358490566038,82.47780244173141,8.213096559378469,37.375138734739174,0.0,18.296028880866427,0.0
"Acosta, Jaykob",0.75,0.5,0.25,0.0,0.75,0.0,0.0,0.0,,0.0,99.90288568257492,96.79522752497225,92.91065482796893,0.0,99.98612652608213,0.0,0.0,0.0,,0.0
"Adams, Ben",0.5909090909090909,0.6818181818181818,0.09090909090909091,0.4090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.558417441240337,0.045454545454545456,99.5144284128746,99.75027746947835,8.282463928967813,99.30632630410655,58.62930077691454,49.70865704772475,96.73973362930077,0.0,77.66064981949458,23.654273029966706
"Adams, Zane",0.3877551020408163,0.2653061224489796,0.22448979591836735,0.16326530612244897,0.22448979591836735,0.04081632653061224,0.0,0.04081632653061224,0.4352101859966974,0.08163265306122448,55.81298557158713,10.252497225305216,86.63984461709212,33.25471698113208,88.59600443951166,12.610987791342954,0.0,31.34017758046615,35.52346570397112,69.5338512763596
"Adkison, Ethan",0.5263157894736842,0.40350877192982454,0.22807017543859648,0.22807017543859648,0.2982456140350877,0.0,0.0,0.0,0.5030682505862633,0.0,98.0299667036626,76.81742508324085,88.02719200887901,65.09433962264151,98.19644839067703,0.0,0.0,0.0,61.57400722021661,0.0
"Agemy, Cole",0.5,0.875,0.0,0.25,0.25,0.0,0.0,0.0,0.9939414953171986,0.125,95.67147613762486,99.87513873473918,0.0,76.165371809101,93.81243063263041,0.0,0.0,0.0,99.50902527075812,94.02053274139844
"Ager, Matt",0.3333333333333333,0.4444444444444444,0.1388888888888889,0.1388888888888889,0.19444444444444445,0.027777777777777776,0.027777777777777776,0.0,0.5419909185855623,0.1111111111111111,30.382907880133185,91.30133185349611,25.541065482796892,25.776914539400664,71.62874583795784,8.587680355160932,40.17758046614872,0.0,74.0216606498195,90.4134295227525
"Agosto, Justus",0.3333333333333333,0.3333333333333333,0.2222222222222222,0.05555555555555555,0.2777777777777778,0.05555555555555555,0.0,0.05555555555555555,0.9022423991672466,0.05555555555555555,30.382907880133185,31.215316315205328,85.46059933407325,6.839622641509433,97.18368479467259,20.061043285238625,0.0,50.887902330743614,97.92057761732852,35.37735849056604
"Aiken, Davis",0.3870967741935484,0.41935483870967744,0.16129032258064516,0.12903225806451613,0.25806451612903225,0.12903225806451613,0.03225806451612903,0.0967741935483871,0.06755207677528494,0.06451612903225806,55.41065482796892,84.1842397336293,41.20421753607103,22.80799112097669,95.50499445061044,83.10210876803552,48.68201997780244,89.70588235294117,2.1949458483754514,47.18368479467259
"Aita, Blake",0.3333333333333333,0.2916666666666667,0.20833333333333334,0.041666666666666664,0.2916666666666667,0.041666666666666664,0.0,0.041666666666666664,0.208361234688724,0.041666666666666664,30.382907880133185,16.41231964483907,78.12153163152054,5.02219755826859,97.93285238623751,12.749722530521643,0.0,32.158712541620424,5.444043321299639,20.199778024417313
"Albert, Eddie",0.5192307692307693,0.4423076923076923,0.17307692307692307,0.36538461538461536,0.15384615384615385,0.09615384615384616,0.019230769230769232,0.07692307692307693,0.265624096374659,0.07692307692307693,97.68312985571586,91.14872364039955,51.76193118756937,98.51553829078802,29.605993340732518,55.72974472807991,26.970033296337405,76.91453940066593,7.826714801444043,63.51276359600444
"Albritton, Blake",0.37037037037037035,0.37037037037037035,0.2222222222222222,0.2222222222222222,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.20133477970470998,0.0,46.781354051054386,54.89733629300777,85.46059933407325,61.58435072142064,25.13873473917869,34.21198668146504,57.144839067702556,26.997780244173143,5.155234657039711,0.0
"Albus, Dash",0.25,0.0,0.25,0.125,0.125,0.0,0.0,0.0,,0.125,10.61320754716981,0.0,92.91065482796893,21.43451720310766,12.083795782463929,0.0,0.0,0.0,,94.02053274139844
"Alegre, Joe",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,99.94450610432852,0.0,99.98612652608213,0.0,99.98612652608213,0.0,0.0,0.0,,0.0
"Alekson, Ben",0.23529411764705882,0.5,0.058823529411764705,0.20588235294117646,0.029411764705882353,0.20588235294117646,0.14705882352941177,0.058823529411764705,0.698949976343746,0.08823529411764706,8.476692563817979,96.79522752497225,3.9123196448390676,53.35738068812431,1.3457269700332963,98.26581576026638,99.4173140954495,55.549389567147614,93.09747292418773,75.99889012208656
"Allen, Cooper",0.15873015873015872,0.4444444444444444,0.047619047619047616,0.047619047619047616,0.1111111111111111,0.047619047619047616,0.031746031746031744,0.015873015873015872,0.3830766315480403,0.047619047619047616,2.3723640399556047,91.30133185349611,3.0382907880133185,5.757491675915649,8.074361820199778,15.330188679245282,47.89123196448391,12.708102108768035,20.895306859205775,25.86015538290788
